UserID,Gender,Age,FavoriteMusicType,WeeklyListeningHours,PaidSubscription,ListeningPlatform,Country,SubscriptionType,GenrePreferenceLevel,DeviceType,ListeningTimeOfDay,NumberOfPlaylists
1,Female,18,K-Pop,15,Yes,Spotify,UK,Free,High,PC,Afternoon,62
2,Male,34,Traditional,16,No,Apple Music,USA,Family,High,PC,Afternoon,19
3,Male,32,Chill,15,Yes,NetEase Cloud,Japan,Premium,Medium,Mobile,Afternoon,48
4,Male,41,Jazz,16,No,Apple Music,UK,Student,Medium,Smart Speaker,Morning,38
5,Male,21,Pop,23,Yes,QQ Music,Korea,Student,Low,Mobile,Afternoon,37
6,Male,23,Pop,18,Yes,NetEase Cloud,Japan,Premium,Low,Smart Speaker,Night,34
7,Male,20,Rock,20,Yes,Spotify,USA,Student,Low,Tablet,Evening,66
8,Female,45,Oldies,6,No,Apple Music,India,Student,High,Mobile,Afternoon,40
9,Female,32,Jazz,18,No,QQ Music,USA,Free,Medium,Smart Speaker,Evening,16
10,Male,33,Chill,18,Yes,Apple Music,India,Free,Low,Tablet,Evening,8
11,Male,28,Rock,26,Yes,NetEase Cloud,Korea,Family,Low,Tablet,Morning,36
12,Male,45,Traditional,11,Yes,Apple Music,Australia,Student,Medium,Mobile,Night,28
13,Female,24,Oldies,25,No,Apple Music,India,Student,High,Smart Speaker,Evening,42
14,Male,21,Pop,6,No,YouTube Music,India,Free,Medium,Smart Speaker,Night,51
15,Female,18,Pop,23,Yes,Spotify,Australia,Student,Medium,Tablet,Night,54
16,Male,18,Pop,27,Yes,Apple Music,UK,Premium,Medium,Tablet,Afternoon,62
17,Female,26,J-Pop,22,No,YouTube Music,France,Free,High,Smart Speaker,Evening,24
18,Male,29,EDM,22,Yes,Spotify,Korea,Free,Low,Smart Speaker,Morning,25
19,Female,27,K-Pop,30,No,NetEase Cloud,Australia,Premium,Low,Mobile,Afternoon,54
20,Male,32,J-Pop,22,Yes,NetEase Cloud,Korea,Family,High,Smart Speaker,Night,43
21,Female,29,Jazz,23,No,YouTube Music,China,Free,Medium,Mobile,Evening,18
22,Male,28,Pop,16,Yes,YouTube Music,Australia,Student,Medium,Smart Speaker,Afternoon,34
23,Male,27,J-Pop,19,Yes,NetEase Cloud,India,Student,Low,Smart Speaker,Evening,42
24,Male,26,K-Pop,30,Yes,QQ Music,Australia,Student,Low,Smart Speaker,Night,67
25,Male,18,K-Pop,19,Yes,Spotify,Brazil,Premium,Medium,PC,Afternoon,56
26,Female,42,Oldies,8,Yes,Spotify,India,Family,High,PC,Morning,33
27,Male,23,Pop,7,Yes,YouTube Music,China,Free,Low,PC,Morning,24
28,Female,20,EDM,24,No,Spotify,USA,Free,High,Mobile,Night,100
29,Female,36,Jazz,10,No,QQ Music,Brazil,Family,High,Tablet,Evening,33
30,Female,22,Rock,19,Yes,Spotify,Brazil,Free,Medium,Mobile,Night,51
31,Male,44,Jazz,14,Yes,YouTube Music,China,Student,High,Tablet,Morning,54
32,Male,29,Pop,15,Yes,Apple Music,Australia,Family,Medium,Tablet,Evening,93
33,Female,26,Rock,12,No,Apple Music,UK,Premium,High,Smart Speaker,Morning,73
34,Male,45,Traditional,11,No,YouTube Music,Germany,Family,Low,Tablet,Evening,14
35,Female,40,Traditional,14,Yes,Apple Music,UK,Family,Medium,Mobile,Afternoon,32
36,Female,43,Oldies,13,No,Spotify,Germany,Free,Medium,Smart Speaker,Evening,42
37,Female,20,J-Pop,28,No,YouTube Music,France,Family,Medium,PC,Evening,44
38,Female,27,Rock,17,Yes,YouTube Music,Australia,Student,Medium,Tablet,Evening,38
39,Female,28,Chill,25,Yes,YouTube Music,Germany,Free,Low,Smart Speaker,Afternoon,21
40,Male,18,K-Pop,30,No,Apple Music,Japan,Family,Medium,PC,Morning,74
41,Female,18,Rock,14,Yes,NetEase Cloud,Germany,Premium,Medium,Smart Speaker,Morning,3
42,Male,18,EDM,5,Yes,Apple Music,India,Premium,Low,PC,Afternoon,56
43,Female,18,Rock,18,Yes,YouTube Music,Germany,Student,High,Smart Speaker,Morning,7
44,Male,42,Traditional,10,No,Spotify,Germany,Family,Low,PC,Afternoon,35
45,Female,32,Pop,25,Yes,NetEase Cloud,UK,Student,High,PC,Morning,37
46,Male,45,Chill,7,Yes,YouTube Music,China,Family,Medium,PC,Evening,9
47,Male,21,J-Pop,30,No,Apple Music,UK,Free,Medium,Tablet,Evening,46
48,Male,22,EDM,13,No,QQ Music,China,Premium,High,Tablet,Evening,83
49,Female,29,EDM,30,Yes,YouTube Music,Brazil,Free,Medium,Tablet,Night,44
