UserID,Gender,Age,FavoriteMusicType,WeeklyListeningHours,PaidSubscription,ListeningPlatform,Country,SubscriptionType,GenrePreferenceLevel,DeviceType,ListeningTimeOfDay,NumberOfPlaylists
1,Male,24,K-Pop,6,Yes,Apple Music,China,Premium,Low,Tablet,Evening,65
2,Female,37,Jazz,9,No,Apple Music,France,Premium,Low,Mobile,Morning,10
3,Male,32,Traditional,28,Yes,Amazon Music,France,Free,High,Mobile,Evening,19
4,Female,28,Pop,26,No,YouTube Music,Germany,Premium,Low,Tablet,Evening,92
5,Female,25,Oldies,18,Yes,YouTube Music,Australia,Free,High,Tablet,Evening,59
6,Female,38,Jazz,17,No,YouTube Music,USA,Family,High,Tablet,Afternoon,11
7,Male,24,K-Pop,20,No,Apple Music,USA,Premium,Low,PC,Morning,99
8,Female,43,Traditional,27,No,Amazon Music,Germany,Premium,Low,Mobile,Evening,22
9,Male,36,EDM,19,Yes,NetEase Cloud,India,Family,Medium,Mobile,Night,22
10,Female,40,Traditional,7,No,YouTube Music,UK,Free,High,Mobile,Night,27
11,Male,28,K-Pop,10,Yes,Spotify,France,Free,Low,PC,Night,59
12,Female,28,Oldies,13,Yes,YouTube Music,USA,Premium,High,Tablet,Morning,88
13,Male,41,Oldies,7,Yes,NetEase Cloud,Germany,Family,Low,Mobile,Night,22
14,Male,38,Chill,17,Yes,Amazon Music,Germany,Premium,Low,Mobile,Evening,9
15,Male,21,Pop,17,No,YouTube Music,Australia,Free,Medium,Mobile,Afternoon,46
16,Female,25,Pop,26,Yes,YouTube Music,Germany,Free,Medium,PC,Evening,48
17,Male,41,EDM,11,Yes,NetEase Cloud,Germany,Free,Medium,Tablet,Evening,16
18,Female,20,Rock,9,Yes,YouTube Music,Korea,Family,Low,PC,Night,96
19,Male,39,Jazz,30,No,Amazon Music,UK,Family,Medium,Tablet,Night,17
20,Male,38,Chill,12,Yes,YouTube Music,Korea,Family,High,Mobile,Afternoon,26
21,Male,19,EDM,12,No,Spotify,Germany,Family,High,Tablet,Afternoon,66
22,Female,41,Jazz,26,Yes,NetEase Cloud,India,Premium,Low,Mobile,Morning,11
23,Female,29,Rock,11,No,YouTube Music,UK,Free,Medium,PC,Night,38
24,Female,23,K-Pop,23,Yes,YouTube Music,UK,Free,Low,Tablet,Morning,94
25,Female,19,Pop,11,No,Spotify,Japan,Premium,Low,Tablet,Night,63
26,Female,45,EDM,27,Yes,NetEase Cloud,France,Premium,High,Mobile,Evening,8
27,Female,38,Jazz,8,Yes,NetEase Cloud,UK,Premium,Medium,Mobile,Night,16
28,Female,18,Oldies,14,Yes,Spotify,USA,Premium,High,Tablet,Evening,80
29,Male,29,Chill,17,No,Apple Music,India,Premium,Medium,Mobile,Night,80
30,Male,43,Chill,8,No,YouTube Music,UK,Family,Medium,Mobile,Afternoon,37
31,Female,39,Oldies,23,No,Apple Music,France,Premium,Low,Mobile,Night,21
32,Female,29,EDM,14,Yes,Spotify,France,Family,Medium,Tablet,Evening,31
33,Female,42,Oldies,11,Yes,Apple Music,Australia,Premium,Medium,Mobile,Morning,9
34,Female,34,Oldies,9,Yes,NetEase Cloud,Brazil,Premium,Low,Tablet,Afternoon,6
35,Female,44,Oldies,7,Yes,YouTube Music,Korea,Family,High,Tablet,Afternoon,6
36,Male,44,Jazz,26,No,NetEase Cloud,France,Premium,High,Tablet,Afternoon,15
37,Female,27,Rock,26,Yes,YouTube Music,Japan,Premium,High,Tablet,Evening,46
